name,salary_from,salary_to,salary_currency,area_name,published_at
"Менеджер по продажам, удаленно",40000.0,80000.0,RUR,Тюмень,2022-12-25T04:35:14+0300
Слесарь-сантехник,100000.0,,RUR,Михайловка (Иркутская область),2022-12-25T04:35:32+0300
Мастер маникюра и педикюра,45000.0,60000.0,RUR,Хабаровск,2022-12-25T03:40:05+0300
Плотник,100000.0,,RUR,Тельма,2022-12-25T04:35:29+0300
"Автокурьер (Домодедово ул. Курыжова, д. 21)",80000.0,120000.0,RUR,Домодедово,2022-12-25T00:10:41+0300
Художник-преподаватель в студию рисования,50000.0,75000.0,RUR,Красная Поляна,2022-12-25T00:01:39+0300
Менеджер по продажам,50000.0,120000.0,RUR,Москва,2022-12-25T04:43:32+0300
"Менеджер по продажам, удаленно",40000.0,80000.0,RUR,Улан-Удэ,2022-12-25T04:35:14+0300
Маркетолог,40000.0,100000.0,RUR,Казань,2022-12-25T01:36:01+0300
Сборщик (комплектовщик) заказов,90000.0,,RUR,Мытищи,2022-12-25T00:01:58+0300
Инженер-эколог (проектировщик),60000.0,,RUR,Тюмень,2022-12-25T00:15:42+0300
Продавец-консультант в магазин,70000.0,100000.0,RUR,Москва,2022-12-25T02:55:23+0300
Каменщик,100000.0,,RUR,Тельма,2022-12-25T04:35:34+0300
"Менеджер по продажам, удаленно",40000.0,80000.0,RUR,Томск,2022-12-25T04:35:14+0300
"Менеджер по продажам, удаленно",40000.0,80000.0,RUR,Курган,2022-12-25T04:35:14+0300
Менеджер пункта выдачи заказов(9-я Парковая ул. ),,35450.0,RUR,Москва,2022-12-25T00:13:35+0300
Интернет-маркетолог в офис,120000.0,200000.0,RUR,Москва,2022-12-25T00:26:04+0300
Монтажник,100000.0,,RUR,Тельма,2022-12-25T04:35:31+0300
Арматурщик,100000.0,,RUR,Усолье-Сибирское,2022-12-25T04:35:32+0300
Оператор склада мебельного производства,35000.0,,RUR,Липецк,2022-12-25T01:18:52+0300
Монтажник,100000.0,,RUR,Белореченский,2022-12-25T04:35:30+0300
"Менеджер по продажам, удаленно",40000.0,80000.0,RUR,Ижевск,2022-12-25T04:35:14+0300
Курьер,2500.0,,RUR,Иркутск,2022-12-25T05:10:37+0300
Администратор,22224.0,,RUR,Черемхово,2022-12-25T05:36:32+0300
Плотник,100000.0,,RUR,Железнодорожный (Иркутская область),2022-12-25T04:35:30+0300
"Водитель категории B,C",40000.0,80000.0,RUR,Красноярск,2022-12-25T05:51:44+0300
"Продавец-консультант брендов селективной парфюмерии (Byredo, Molecule и др.) - Владивосток",60000.0,,RUR,Владивосток,2022-12-25T00:03:20+0300
Слесарь-сантехник,100000.0,,RUR,Средний,2022-12-25T04:35:32+0300
Техник ПЭО,15000.0,20000.0,RUR,Курск,2022-12-25T03:21:21+0300
"Менеджер по продажам, удаленно",40000.0,80000.0,RUR,Бийск,2022-12-25T04:35:14+0300
Торговый Представитель,,80000.0,RUR,Большая Мурта,2022-12-25T05:51:44+0300
Упаковщик заказов,67000.0,,RUR,Новосибирск,2022-12-25T03:10:43+0300
"Продавец-кассир, пгт Чульман",37000.0,40000.0,RUR,Чульман,2022-12-25T03:20:57+0300
Арматурщик,100000.0,,RUR,Средний,2022-12-25T04:35:33+0300
Специалист по безопасности в Гипермаркет Магнит,39000.0,39000.0,RUR,Дзержинск (Нижегородская область),2022-12-25T00:29:58+0300
Монтажник,100000.0,,RUR,Култук,2022-12-25T04:35:31+0300
